service_id,date,exception_type
70,20190331,1
12,20190401,1
12,20190402,1
12,20190403,1
12,20190404,1
52,20190405,1
60,20190406,1
70,20190407,1
12,20190408,1
12,20190409,1
12,20190410,1
12,20190411,1
52,20190412,1
60,20190413,1
70,20190414,1
11,20190415,1
11,20190416,1
11,20190417,1
51,20190418,1
71,20190419,1
60,20190420,1
71,20190421,1
70,20190422,1
13,20190423,1
13,20190424,1
13,20190425,1
53,20190426,1
60,20190427,1
70,20190428,1
10,20190429,1
50,20190430,1
70,20190501,1
10,20190502,1
50,20190503,1
60,20190504,1
70,20190505,1
10,20190506,1
10,20190507,1
10,20190508,1
10,20190509,1
50,20190510,1
60,20190511,1
70,20190512,1
10,20190513,1
10,20190514,1
10,20190515,1
10,20190516,1
50,20190517,1
60,20190518,1
70,20190519,1
10,20190520,1
10,20190521,1
10,20190522,1
10,20190523,1
50,20190524,1
60,20190525,1
70,20190526,1
10,20190527,1
10,20190528,1
50,20190529,1
70,20190530,1
53,20190531,1
60,20190601,1
70,20190602,1
10,20190603,1
10,20190604,1
10,20190605,1
10,20190606,1
50,20190607,1
60,20190608,1
71,20190609,1
70,20190610,1
13,20190611,1
13,20190612,1
13,20190613,1
53,20190614,1
60,20190615,1
70,20190616,1
13,20190617,1
13,20190618,1
53,20190619,1
70,20190620,1
53,20190621,1
60,20190622,1
70,20190623,1
10,20190624,1
10,20190625,1
10,20190626,1
10,20190627,1
50,20190628,1
60,20190629,1
70,20190630,1
10,20190701,1
10,20190702,1
10,20190703,1
10,20190704,1
50,20190705,1
60,20190706,1
70,20190707,1
10,20190708,1
10,20190709,1
10,20190710,1
10,20190711,1
50,20190712,1
68,20190713,1
70,20190714,1
10,20190715,1
10,20190716,1
10,20190717,1
10,20190718,1
50,20190719,1
68,20190720,1
70,20190721,1
19,20190722,1
10,20190723,1
10,20190724,1
10,20190725,1
50,20190726,1
60,20190727,1
70,20190728,1
11,20190729,1
11,20190730,1
11,20190731,1
11,20190801,1
51,20190802,1
60,20190803,1
70,20190804,1
11,20190805,1
11,20190806,1
11,20190807,1
11,20190808,1
51,20190809,1
60,20190810,1
70,20190811,1
11,20190812,1
11,20190813,1
11,20190814,1
11,20190815,1
51,20190816,1
60,20190817,1
70,20190818,1
11,20190819,1
11,20190820,1
11,20190821,1
11,20190822,1
51,20190823,1
60,20190824,1
70,20190825,1
11,20190826,1
11,20190827,1
11,20190828,1
11,20190829,1
51,20190830,1
60,20190831,1
70,20190901,1
11,20190902,1
11,20190903,1
11,20190904,1
11,20190905,1
51,20190906,1
60,20190907,1
70,20190908,1
11,20190909,1
11,20190910,1
12,20190911,1
12,20190912,1
52,20190913,1
60,20190914,1
70,20190915,1
12,20190916,1
12,20190917,1
12,20190918,1
12,20190919,1
52,20190920,1
60,20190921,1
70,20190922,1
12,20190923,1
12,20190924,1
12,20190925,1
12,20190926,1
52,20190927,1
60,20190928,1
70,20190929,1
12,20190930,1
12,20191001,1
52,20191002,1
70,20191003,1
51,20191004,1
60,20191005,1
70,20191006,1
12,20191007,1
12,20191008,1
12,20191009,1
12,20191010,1
52,20191011,1
60,20191012,1
70,20191013,1
10,20191014,1
10,20191015,1
10,20191016,1
10,20191017,1
50,20191018,1
60,20191019,1
70,20191020,1
10,20191021,1
10,20191022,1
10,20191023,1
10,20191024,1
50,20191025,1
60,20191026,1
70,20191027,1
13,20191028,1
13,20191029,1
13,20191030,1
53,20191031,1
71,20191101,1
60,20191102,1
70,20191103,1
10,20191104,1
10,20191105,1
10,20191106,1
10,20191107,1
50,20191108,1
60,20191109,1
70,20191110,1
10,20191111,1
10,20191112,1
10,20191113,1
10,20191114,1
50,20191115,1
60,20191116,1
70,20191117,1
10,20191118,1
10,20191119,1
10,20191120,1
10,20191121,1
50,20191122,1
60,20191123,1
70,20191124,1
10,20191125,1
10,20191126,1
10,20191127,1
10,20191128,1
50,20191129,1
60,20191130,1
70,20191201,1
10,20191202,1
10,20191203,1
10,20191204,1
10,20191205,1
50,20191206,1
60,20191207,1
70,20191208,1
10,20191209,1
10,20191210,1
10,20191211,1
10,20191212,1
50,20191213,1
60,20191214,1
70,20191215,1
10,20191216,1
10,20191217,1
10,20191218,1
10,20191219,1
50,20191220,1
60,20191221,1
70,20191222,1
13,20191223,1
61,20191224,1
71,20191225,1
70,20191226,1
51,20191227,1
60,20191228,1
70,20191229,1
11,20191230,1
62,20191231,1
